kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model,error_total
10.0,9.955456733703612,0.0044543268159031,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",17.633357762571553,0.771225392690911,0.7633357762571553
12.63,12.619552612304688,0.0008271973347291,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1]",14.019216946464852,0.11091235776420648,0.10999342410648065
15.26,15.260056495666504,3.687207254188252e-06,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",15.866609419966853,0.03974775089938858,0.03975160025995105
17.89,17.892066955566406,0.0001155710415332,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",19.843948474384803,0.10909200841164671,0.10922014949048642
20.53,20.52618980407715,0.0001856250601122,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",21.714153112830353,0.05787549077994189,0.05767915795569174
23.16,23.15922164916992,3.360096161486581e-05,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]",22.819111696635044,0.014685724662385812,0.01471883865997219
25.79,25.78890609741211,4.245126183377579e-05,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",23.224614027593983,0.09943392170773194,0.09947211990717396
28.42,28.39969062805176,0.0007146181887947,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",27.02191823631386,0.04851364086258777,0.04919358774405851
31.05,31.05414581298828,0.0001335451233899,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",30.973905636899584,0.0025838796717163963,0.002450704125617286
33.68,33.6593132019043,0.0006142251659184,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",33.935150509034536,0.008194977285354503,0.007575727702925648
36.32,36.32080459594727,2.2161375454743396e-05,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",37.41513868518944,0.030129676404918482,0.030152496838916295
38.95,38.94498443603516,0.0001287888735532,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",30.020744134044463,0.22914992601032458,0.2292491878294105
41.58,41.59869003295898,0.0004494516761042,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",29.26232473794051,0.2965565811145559,0.296240386292917
44.21,44.21190643310547,4.3142925278516486e-05,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",37.38894395555487,0.1543240956567669,0.154287628238976
46.84,46.83302307128906,0.0001489556161686,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",47.900871342035956,0.022801181745654518,0.022648833092142443
49.47,49.48036193847656,0.000209434350836,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",42.04217244720302,0.15032609301690475,0.1501481211400238
52.11,52.11421585083008,8.089120092336088e-05,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",58.24224690510928,0.11758847282322867,0.11767888898693694
54.74,54.772254943847656,0.0005892083281651,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",51.512668254184135,0.05951163947887922,0.058957467040845216
57.37,57.36627197265625,6.496355490526184e-05,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",56.26981646665334,0.019113243170578335,0.01917698332485025
60.0,59.99332427978516,0.0001112620011554,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",56.65894000837085,0.05557925504951291,0.05568433319381919
